date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,Australia,Australia,,-25.274,133.775,True,True,True,,,,,DO NOT OVERRIDE,True,True,Australia,,,,,,,,Australia,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,Canada,Canada,,56.13,-106.347,True,True,True,,,,,DO NOT OVERRIDE,True,True,Canada,,,,,,,,Canada,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,GEO,Georgia,Georgia,,42.315,43.357,True,True,True,,,,,,,,Georgia,,,,,,,,Georgia,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SEN,Senegal,Senegal,,14.497,-14.452,True,True,True,,,,,,,,Senegal,,,,,,,,Senegal,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,Mainland China,Mainland China,,35.862,104.195,True,True,True,3,,,,DO NOT OVERRIDE,True,,China,,,,,China,China,,Mainland China,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,United States,US,,37.09,-95.713,True,True,True,,,,,,True,,U.S.,,,,,U.S.,the United States,,US,,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Tibet,31.6,84.27,True,,,,,,,,,,Mainland China,,,,,,,,Tibet (Mainland China),,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,From Diamond Princess,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,From Diamond Princess (Australia),,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,Western Australia,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,Western Australia (Australia),,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,,Canada,"London, ON",51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,"London, ON (Canada)",,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,,Canada,Ontario,51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,Ontario (Canada),,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CAN,,Canada,"Montreal, QC",51.4,-87.12,True,,,,,,,,,,Canada,,,,,,,,"Montreal, QC (Canada)",,0,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AFG,Afghanistan,Afghanistan,,33.939,67.71,True,True,True,,JHU issue. Pls keep it,1,,Mar. 3,,,Afghanistan,,,,,,,,Afghanistan,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,ARM,Armenia,Armenia,,40.069,45.038,True,True,True,,JHU issue. Pls keep it,1,,Mar. 3,,,Armenia,,,,,,,,Armenia,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BTN,Bhutan,Bhutan,,27.514,90.434,True,True,True,,JHU,1,,Mar. 6,,,Bhutan,,,,,,,,Bhutan,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHL,Chile,Chile,,-35.675,-71.543,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 3,,,Chile,,,,,,,,Chile,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,DOM,Dominican Republic,Dominican Republic,,18.736,-70.163,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 3,,,Dominican Republic,,,,,,,,Dominican Republic,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,FRO,Faroe Islands,,,61.893,-6.912,True,True,False,,JHU issue,1,,Mar. 4,,,,,,,,,,,,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,JOR,Jordan,Jordan,,30.585,36.238,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,Mar. 2,,,Jordan,,,,,,,,Jordan,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,KHM,Cambodia,Cambodia,,12.566,104.991,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,0,Mar. 3,,,Cambodia,,,,,,,,Cambodia,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LKA,Sri Lanka,Sri Lanka,,7.873,80.772,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 3,,,Sri Lanka,,,,,,,,Sri Lanka,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LTU,Lithuania,Lithuania,,55.169,23.881,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 3,,,Lithuania,,,,,,,,Lithuania,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MCO,Monaco,Monaco,,43.75,7.413,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Monaco,,,,,,,,Monaco,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MKD,North Macedonia,North Macedonia,,41.609,21.745,True,True,True,,JHU issue; NYT name change as of Feb. 11,1,,Mar. 4,,,North Macedonia,,,,,,,,North Macedonia,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,NGA,Nigeria,Nigeria,,9.082,8.675,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,True,True,Nigeria,top,,,,,,,Nigeria,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,NPL,Nepal,Nepal,,28.395,84.124,True,True,True,,JHU dashboard but not sheet,1,,Mar. 3,,,Nepal,left,,,,,,,Nepal,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,UKR,Ukraine,Ukraine,,48.379,31.166,True,True,True,,JHU table,1,,,,,Ukraine,,,,,,,,Ukraine,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,ZAF,South Africa,South Africa,,-30.559,22.938,True,True,True,,JHU,1,,Mar. 6,,,South Africa,,,,,,,,South Africa,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AND,Andorra,Andorra,,42.549,1.585,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Andorra,,,,,,,,Andorra,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LVA,Latvia,Latvia,,56.88,24.603,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Latvia,,,,,,,,Latvia,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,GIB,Gibraltar,Gibraltar,,36.138,-5.345,True,True,False,,https://twitter.com/GBCNewsroom/status/1234774651601063937,1,,Mar. 3,,,Gibraltar,,,,,,,,Gibraltar,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,TUN,Tunisia,Tunisia,,33.887,9.537,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Tunisia,,,,,,,,Tunisia,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LIE,Liechtenstein,Liechtenstein,,47.166,9.555,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Liechtenstein,,,,,,,,Liechtenstein,,1,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Wisconsin,43.78444,-88.787868,True,,,,,,,,,,,,,,,,,,,WI,1,0,Wis.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Utah,39.32098,-111.093731,True,,,,,,,,,,,,,,,,,,,UT,1,0,Utah,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Tennessee,35.517491,-86.580447,True,,,,,,,,,,,,,,,,,,,TN,1,0,Tenn.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Indiana,40.551217,-85.602364,True,,,,,,,,,,,,,,,,,,,IN,1,0,Ind.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Minnesota,46.729553,-94.6859,True,,,,,,,,,,,,,,,,,,,MN,1,0,Minn.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Kentucky,37.839333,-84.270018,True,,,,,,,,,,,,,,,,,,,KY,1,0,Ky.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Oklahoma,35.007752,-97.092877,True,,,,,,,,,,,,,,,,,,,OK,1,0,Okla.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,BIH,Bosnia and Herzegovina,,,43.916,17.679,True,True,True,,JHU issue,2,,Mar. 6,,,,,,,,,,,,,2,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,HUN,Hungary,Hungary,,47.162,19.503,True,True,True,,JHU issue,2,,Mar. 6,,,Hungary,,,,,,,,Hungary,,2,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,LUX,Luxembourg,Luxembourg,,49.815,6.13,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,Mar. 6,,,Luxembourg,,,,,,,,Luxembourg,,2,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,IDN,Indonesia,Indonesia,,-0.789,113.921,True,True,True,,JHU issue. Pls keep,2,,Mar. 5,True,True,Indonesia,,,,,,,,Indonesia,,2,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MAR,Morocco,Morocco,,31.792,-7.093,True,True,True,,JH dashboard but not sheet,2,,Mar. 6,,,Morocco,,,,,,,,Morocco,,2,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Oregon,43.804133,-120.554201,True,,,,,,,,,,,,,,,,,,,OR,2,0,Ore.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,New Hampshire,43.193852,-71.572395,True,,,,,,,,,,,,,,,,,,,NH,2,0,N.H.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,North Carolina,35.759573,-79.0193,True,,,,,,,,,,,,,,,,,,,NC,2,0,N.C.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Colorado,39.550051,-105.782067,True,,,,,,,,,,,,,,,,,,,CO,2,0,Colo.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Nevada,38.80261,-116.419389,True,,,,,,,,,,,,,,,,,,,NV,2,0,Nev.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Pennsylvania,41.203322,-77.194525,True,,,,,,,,,,,,,,,,,,,PA,2,0,Pa.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,ARG,Argentina,Argentina,,-38.416,-63.617,True,True,True,,JH dashboard but not sheet,3,,Mar. 6,,,Argentina,,,,,,,,Argentina,,3,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Arizona,34.048928,-111.093731,True,,,,,,,,,,,,,,,,,,,AZ,3,0,Ariz.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Rhode Island,39.6,-71.64,True,,,,,,,,,,,,,,,,,,,RI,3,0,R.I.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Georgia,32.157435,-82.907123,True,,,,,,,,,,,,,,,,,,,GA,3,0,Ga.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,New Jersey,40.058324,-74.405661,True,,,,,,,,,,,,,,,,,,,NJ,3,0,N.J.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Maryland,39.045755,-76.641271,True,,,,,,,,,,,,,,,,,,,MD,3,0,Md.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,NZL,New Zealand,New Zealand,,-44.63,168.376,True,True,True,,JHU dashboard,4,,Mar. 6,True,True,New Zealand,top,,,,,,,New Zealand,,4,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Florida,27.664827,-81.515754,True,,,,,,,,,,,,,,,,,,,FL,4,0,Fla.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,PHL,Philippines,Philippines,,12.88,121.774,True,True,True,,JHU issue,3,,Mar. 6,,,Philippines,right,True,,,,,,Philippines,,5,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SAU,Saudi Arabia,Saudi Arabia,,23.886,45.079,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Saudi Arabia,,,,,,,,Saudi Arabia,,5,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,POL,Poland,Poland,,51.919,19.145,True,True,True,,JHU issue,1,,Mar. 4,,,Poland,,,,,,,,Poland,,5,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Illinois,40.633125,-89.398528,True,,,,,,,,,,,,,,,,,,,IL,5,0,Ill.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,AZE,Azerbaijan,Azerbaijan,,40.143,47.577,True,True,True,,,,,,,,Azerbaijan,,,,,,,,Azerbaijan,,6,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BLR,Belarus,Belarus,,53.71,27.953,True,True,True,,JH dashboard but not sheet,1,,Mar. 3,,,Belarus,,,,,,,,Belarus,,6,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MEX,Mexico,Mexico,,23.635,-102.553,True,True,True,,,,,,True,True,Mexico,right,,,,,,,Mexico,,6,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,PAK,Pakistan,Pakistan,,30.375,69.345,True,True,True,,,,,,,,Pakistan,,,,,,,,Pakistan,,6,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SVN,Slovenia,Slovenia,,46.151,14.995,True,True,True,,,,,,,,Slovenia,,,,,,,,Slovenia,,7,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,South Australia,-34.93,138.61,True,,,,,,,,,,Australia,,,,,,,,South Australia (Australia),,7,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,QAT,Qatar,Qatar,,25.343,50.657,True,True,True,,,,,,,,Qatar,,,,,,,,Qatar,,8,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Massachusetts,42.138477,-69.3,True,,,,,,,,,,,,,,,,,,,MA,8,0,Mass.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,ROU,Romania,Romania,,45.943,24.967,True,True,True,,,,,,,,Romania,,,,,,,,Romania,,9,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,EST,Estonia,Estonia,,58.595,25.014,True,True,True,,JHU issue,3,,Mar. 6,,,Estonia,,,,,,,,Estonia,,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MAC,Macau,Macau,Macau,22.199,113.544,True,True,False,,,,,,,,Macau,,,,,,,,Macau (Macau),,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,Victoria,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,Victoria (Australia),,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,HRV,Croatia,Croatia,,45.1,15.2,True,True,True,,,,,,,,Croatia,,,,,,,,Croatia,,11,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BRA,Brazil,Brazil,,-14.235,-51.925,True,True,True,,JHU,4,,Mar. 6,True,True,Brazil,,,,,,,,Brazil,,13,0,,
